fixture	retained(executables,plans,test_nodes)	prototype(executables,plans,test_nodes)	retained_sha256	prototype_sha256
fixtures2/00185_spawn_receive_capture.fz	(12, 1, 0)	(12, 1, 0)	2d5cb59efacff25ff35b37eb15554ce5711f67c083c6facc4f23522e0a8ce08a	5eb45b23245289d8cca86219543c935f340ca53355bcd568898b002488635979
fixtures2/00240_large_int_from_spawn.fz	(9, 1, 0)	(9, 1, 0)	c78916d34e75a4e29900af452c0767e6b1ab6d0d68567cf18ddab0912928c4b7	c89067247ccd6d546128e66f3f504323bf358fcdf8919903dcb2df29f9fc08ad
fixtures2/00242_spawn_tagged_receive.fz	(11, 1, 3)	(11, 1, 3)	b48ce2fdcbf8afbd888e3a285c58d716fb6ddc455393d4b7a9537d5ecda62d96	ffd8dc553b659a8e7ac52bbcb1e36be6a929f98b85d54ea85af847b84bbcf5db
fixtures2/00288_spawn_with_captures.fz	(12, 1, 0)	(12, 1, 0)	20494aa25c800a2b49cf9f1f3fd4745f7a119cb8ca0e0eb46de908e49143e9cb	4c6d686181c5af833fa73f7a9b5eaa1625018d3253da05883b07149184301e0f
fixtures2/00410_spawn_closure_capture.fz	(12, 1, 0)	(12, 1, 0)	451737c094bfce2113e895b721945a0b1eb56b0a2403918b028be960352e15a7	59d22594ac9526e5d40aa3cef6172e0bc0b90537e70cce85f9436802dc608dcb
fixtures2/00512_spawn_send_receive.fz	(10, 2, 0)	(10, 2, 0)	3d3eef24b2e158eb57a9eba1e28f250611a4f98374cf18de6df51dd8d0a56f99	4a9a72a9d8a810e025c59431e4bef5d90b57bdc134d03282e8e255fa048c8f2a
fixtures2/00513_spawn_new_fn_resume.fz	(11, 2, 0)	(11, 2, 0)	28be3734ef0b0ae047f50ea70972e405c242bcdd351eb31fa771c70bf2b56a9b	d42bb1635b6904f2c8212f16bc6519e4bb26bcba458bab52fb5afbad2237dd95
fixtures2/00515_spawn_receive_after.fz	(8, 1, 7)	(8, 1, 7)	a133da2f885b7883c6ab7f29184c1caac2d575e28cf2cb329d501d85df7abfba	53be166d25409d3d5e5cad3784a6587cf43f8f120d8304fa4830426eaf17a28a
fixtures2/00516_spawn2_heap_hint.fz	(8, 1, 0)	(8, 1, 0)	a8747d456514c4f79d71c87bf2718467ffecf571e827f40b9efa5875996b7d76	3c7fad3a4af8c8026b48685b4a77cd8525376be9cfa15fee8eeaf9ea4bcd4a2f
fixtures2/behavior/actor_ring.fz	(24, 5, 7)	(22, 5, 7)	7efcf9e10ef1caa18fa0723d4f0734b7bc1e557498870fc3fe22a66b045a925b	b1fc18672bb2cfb5ff226509a5847390e4e80ca7164313fe1c8362d94001ec28
fixtures2/behavior/closure_render_arity.fz	(21, 3, 14)	(21, 3, 14)	258f96678ab08b3b5b9e3b9d1620541e6729a16991a57d56d90785f415f819d4	5a7b874e1d553f2fa6b58c4e744c92a388aad076d4b457155160972dc416a296
fixtures2/behavior/enum_reduce_suspend.fz	(15, 1, 2)	(15, 1, 2)	1f0c551dbc56842d2e4b8e14df789a63ce12aa62bf190bcbf594ea208dd259aa	491704286b9cc69a3ffe56e58116ecc5472a492551a58f16003ec9eaece08391
fixtures2/behavior/mailbox_closure_each.fz	(31, 4, 8)	(29, 4, 8)	0d755e3bec7482b183757a33e026291198125672e395c4417c5f00e4c8ce278a	611db1c7437dde98f37bc9ed0aee5be00dc282032df0bbb51bf7251a154a5a81
fixtures2/behavior/mailbox_closure_reduce.fz	(41, 7, 20)	(39, 7, 20)	32ea1bdc9d53db048ed60ed50f1d7e16e26b1a2daea90199ad67a2036352bd90	0e017a2812cf92a9f18a166ff68965c2a3490ee8e4c2e3a235704c31bcc5e6e6
fixtures2/behavior/shared_heap_send_large_bitstring.fz	(9, 1, 0)	(9, 1, 0)	f49d271155a20ba556e60af7eb87a4176e39c8fcee8cf4774a2036dc818e6dda	39f0c0ba9b82c4e93fcb55e9a590549e33b13a6b28c3a447fa14d65f18bf89f7
fixtures2/behavior/spawn_with_captures.fz	(12, 1, 0)	(12, 1, 0)	63f455f074898eadadeb7b89906a87e69c521f9d271472c57547be45bc7065d3	78c44e65615ab9fbe6ecee258ee74249f97e869234143325bd40c96d884fb19f
