fixture	retained	prototype
fixtures2/00001_quicksort_plus_foo.fz	{"applied": 334, "products": 404}	{"applied": 337, "products": 404}
fixtures2/00007_runtime_refs.fz	{"applied": 150, "products": 105}	{"applied": 152, "products": 105}
fixtures2/00008_callsite_fact_surface.fz	{"applied": 69, "products": 64}	{"applied": 70, "products": 64}
fixtures2/00010_enum_reduce_main.fz	{"applied": 363, "products": 388}	{"applied": 370, "products": 388}
fixtures2/00011_cond_specialization.fz	{"applied": 207, "products": 158}	{"applied": 213, "products": 158}
fixtures2/00012_projection_boundary_abi.fz	{"applied": 88, "products": 98}	{"applied": 89, "products": 98}
fixtures2/00013_variadic_open.fz	{"applied": 70, "products": 74}	{"applied": 71, "products": 74}
fixtures2/00015_variadic_open_jit.fz	{"applied": 70, "products": 74}	{"applied": 71, "products": 74}
fixtures2/00016_spawn_then_receive.fz	{"applied": 177, "products": 138}	{"applied": 181, "products": 138}
fixtures2/00017_spawn_receive_assert.fz	{"applied": 288, "products": 231}	{"applied": 295, "products": 231}
fixtures2/00018_tail_recursion.fz	{"applied": 212, "products": 158}	{"applied": 220, "products": 158}
fixtures2/00019_quicksort_entry.fz	{"applied": 334, "products": 404}	{"applied": 337, "products": 404}
fixtures2/00020_quicksort_jit_entry.fz	{"applied": 334, "products": 404}	{"applied": 337, "products": 404}
fixtures2/00021_variadic_printf.fz	{"applied": 70, "products": 70}	{"applied": 71, "products": 70}
fixtures2/00022_typed_dispatch.fz	{"applied": 147, "products": 118}	{"applied": 151, "products": 118}
fixtures2/00023_backend_interp_self_send.fz	{"applied": 143, "products": 114}	{"applied": 145, "products": 114}
fixtures2/00024_backend_interp_spawn.fz	{"applied": 168, "products": 131}	{"applied": 171, "products": 131}
fixtures2/00025_backend_interp_spawn_opt.fz	{"applied": 170, "products": 138}	{"applied": 173, "products": 138}
fixtures2/00026_make_resource.fz	{"applied": 142, "products": 121}	{"applied": 145, "products": 121}
fixtures2/00028_helper_roots.fz	{"applied": 83, "products": 70}	{"applied": 84, "products": 70}
fixtures2/00031_local_lambda.fz	{"applied": 136, "products": 111}	{"applied": 141, "products": 111}
fixtures2/00032_lambda_recursion.fz	{"applied": 269, "products": 241}	{"applied": 278, "products": 241}
fixtures2/00059_nested_call_from_outside.fz	{"applied": 94, "products": 110}	{"applied": 95, "products": 110}
fixtures2/00077_top_level_import.fz	{"applied": 165, "products": 152}	{"applied": 170, "products": 152}
fixtures2/00078_top_level_alias.fz	{"applied": 94, "products": 106}	{"applied": 95, "products": 106}
fixtures2/00111_macro_quote_unquote.fz	{"applied": 162, "products": 151}	{"applied": 166, "products": 151}
fixtures2/00112_macro_multiple_calls.fz	{"applied": 248, "products": 209}	{"applied": 255, "products": 209}
fixtures2/00113_macro_splices_fn_call.fz	{"applied": 184, "products": 167}	{"applied": 189, "products": 167}
fixtures2/00114_nested_macro_expansion.fz	{"applied": 183, "products": 174}	{"applied": 187, "products": 174}
fixtures2/00115_macro_args_quoted_ast.fz	{"applied": 183, "products": 181}	{"applied": 187, "products": 181}
fixtures2/00118_macro_hygiene_unquote.fz	{"applied": 162, "products": 151}	{"applied": 166, "products": 151}
fixtures2/00119_macro_hygiene_gensym.fz	{"applied": 162, "products": 170}	{"applied": 166, "products": 170}
fixtures2/00120_cross_module_macro.fz	{"applied": 231, "products": 223}	{"applied": 236, "products": 223}
fixtures2/00121_imported_macro_unqualified.fz	{"applied": 209, "products": 207}	{"applied": 213, "products": 207}
fixtures2/00122_item_macro_compiler_ast.fz	{"applied": 114, "products": 136}	{"applied": 115, "products": 136}
