fixture	arena	typed_type_classes	typed_type_excess	backend	executables	typed_executable_classes	typed_executable_excess
fixtures2/00001_quicksort_plus_foo.fz	80	72	8	1	17	17	0
fixtures2/00002_types_top_level.fz	22	22	0	1	1	1	0
fixtures2/00003_type_refs.fz	1	1	0	0	0	0	0
fixtures2/00004_typedefs.fz	22	22	0	1	1	1	0
fixtures2/00005_brand.fz	22	22	0	1	1	1	0
fixtures2/00006_protocol_domain.fz	1	1	0	0	0	0	0
fixtures2/00007_runtime_refs.fz	30	29	1	1	5	5	0
fixtures2/00008_callsite_fact_surface.fz	22	22	0	1	2	2	0
fixtures2/00009_no_runtime.fz	22	22	0	1	1	1	0
fixtures2/00010_enum_reduce_main.fz	153	146	7	1	11	11	0
fixtures2/00011_cond_specialization.fz	42	41	1	1	7	7	0
fixtures2/00012_projection_boundary_abi.fz	30	30	0	1	3	3	0
fixtures2/00013_variadic_open.fz	27	27	0	1	2	2	0
fixtures2/00014_unresolved_callable_boundary.fz	20	20	0	0	0	0	0
fixtures2/00015_variadic_open_jit.fz	27	27	0	1	2	2	0
fixtures2/00016_spawn_then_receive.fz	34	33	1	1	6	6	0
fixtures2/00017_spawn_receive_assert.fz	43	42	1	1	11	11	0
fixtures2/00018_tail_recursion.fz	31	30	1	1	6	6	0
fixtures2/00019_quicksort_entry.fz	80	72	8	1	17	17	0
fixtures2/00020_quicksort_jit_entry.fz	80	72	8	1	17	17	0
fixtures2/00021_variadic_printf.fz	27	27	0	1	2	2	0
fixtures2/00022_typed_dispatch.fz	34	33	1	1	5	5	0
fixtures2/00023_backend_interp_self_send.fz	33	32	1	1	5	5	0
fixtures2/00024_backend_interp_spawn.fz	35	33	2	1	6	6	0
fixtures2/00025_backend_interp_spawn_opt.fz	38	36	2	1	6	6	0
fixtures2/00026_make_resource.fz	43	41	2	1	5	5	0
fixtures2/00027_foo_99.fz	1	1	0	0	0	0	0
fixtures2/00028_helper_roots.fz	26	26	0	1	2	2	0
fixtures2/00029_positive_gte.fz	1	1	0	0	0	0	0
fixtures2/00030_foo_42.fz	1	1	0	0	0	0	0
fixtures2/00031_local_lambda.fz	35	34	1	1	4	4	0
fixtures2/00032_lambda_recursion.fz	50	48	2	1	10	10	0
fixtures2/00033_clause_projections.fz	1	1	0	0	0	0	0
fixtures2/00034_lambda_capture.fz	1	1	0	0	0	0	0
fixtures2/00035_local_match.fz	25	25	0	1	1	1	0
fixtures2/00036_guard_helpers.fz	1	1	0	0	0	0	0
fixtures2/00037_guard_destructure.fz	1	1	0	0	0	0	0
fixtures2/00038_guard_cycle.fz	1	1	0	0	0	0	0
fixtures2/00039_guard_impure.fz	1	1	0	0	0	0	0
