fixture	changed_stats_json
fixtures2/00127_operator_sugar_rewrites.fz	{"fz.compiler2.activation_analysis.defined":[34,28],"fz.compiler2.activation_inputs.defined":[13,11],"fz.compiler2.callsite.defined":[34,29],"fz.compiler2.job.start":[240,226],"fz.compiler2.job.stop":[240,226],"fz.compiler2.pull.product.evaluated":[379,319],"fz.compiler2.pull.product.requested":[380,320],"fz.compiler2.pull.product.settled":[255,216],"fz.compiler2.pull.product.validation":[95,81],"fz.compiler2.return_type.defined":[15,11],"fz.compiler2.work_graph.applied":[240,226],"fz.compiler2.work_graph.quiesced":[11,9]}
fixtures2/00276_enum_to_list_and_map.fz	{"fz.compiler2.activation_analysis.defined":[80,76],"fz.compiler2.activation_inputs.defined":[32,30],"fz.compiler2.callsite.defined":[81,78],"fz.compiler2.job.start":[636,624],"fz.compiler2.job.stop":[636,624],"fz.compiler2.pull.product.evaluated":[798,774],"fz.compiler2.pull.product.requested":[806,782],"fz.compiler2.pull.product.settled":[498,483],"fz.compiler2.pull.product.validation":[201,193],"fz.compiler2.return_type.defined":[34,32],"fz.compiler2.work_graph.applied":[636,624],"fz.compiler2.work_graph.quiesced":[30,29]}
fixtures2/00277_enum_tier0_fixture.fz	{"fz.compiler2.activation_analysis.defined":[510,506],"fz.compiler2.activation_inputs.defined":[200,198],"fz.compiler2.callsite.defined":[570,567],"fz.compiler2.job.start":[3324,3312],"fz.compiler2.job.stop":[3324,3312],"fz.compiler2.pull.product.evaluated":[5512,5488],"fz.compiler2.pull.product.requested":[5575,5551],"fz.compiler2.pull.product.settled":[3619,3604],"fz.compiler2.pull.product.validation":[1250,1242],"fz.compiler2.return_type.defined":[230,228],"fz.compiler2.work_graph.applied":[3324,3312],"fz.compiler2.work_graph.quiesced":[138,137]}
fixtures2/00285_enum_sort_stable.fz	{"fz.compiler2.activation_analysis.defined":[110,106],"fz.compiler2.job.start":[601,597],"fz.compiler2.job.stop":[601,597],"fz.compiler2.return_type.defined":[49,47],"fz.compiler2.work_graph.applied":[601,597]}
fixtures2/00420_enum_take_drop_split.fz	{"fz.compiler2.activation_analysis.defined":[860,839],"fz.compiler2.activation_inputs.defined":[356,350],"fz.compiler2.callsite.defined":[1180,1167],"fz.compiler2.job.start":[4233,4153],"fz.compiler2.job.stop":[4233,4153],"fz.compiler2.pull.product.evaluated":[9884,9708],"fz.compiler2.pull.product.requested":[9940,9764],"fz.compiler2.pull.product.settled":[6785,6678],"fz.compiler2.pull.product.validation":[2017,1972],"fz.compiler2.return_type.defined":[352,342],"fz.compiler2.work_graph.applied":[4233,4153],"fz.compiler2.work_graph.quiesced":[201,195]}
fixtures2/00531_elixir_binop_operators.fz	{"fz.compiler2.activation_analysis.defined":[31,25],"fz.compiler2.activation_inputs.defined":[12,10],"fz.compiler2.callsite.defined":[30,25],"fz.compiler2.job.start":[226,210],"fz.compiler2.job.stop":[226,210],"fz.compiler2.pull.product.evaluated":[329,271],"fz.compiler2.pull.product.requested":[330,272],"fz.compiler2.pull.product.settled":[220,182],"fz.compiler2.pull.product.validation":[87,73],"fz.compiler2.return_type.defined":[14,10],"fz.compiler2.work_graph.applied":[226,210],"fz.compiler2.work_graph.quiesced":[11,9]}
fixtures2/behavior/dead_closure_capture_empty_list.fz	{"fz.compiler2.activation_analysis.defined":[106,105],"fz.compiler2.activation_inputs.defined":[40,39],"fz.compiler2.callsite.defined":[112,111],"fz.compiler2.job.start":[641,640],"fz.compiler2.job.stop":[641,640],"fz.compiler2.pull.product.evaluated":[952,951],"fz.compiler2.pull.product.requested":[959,958],"fz.compiler2.return_type.defined":[54,53],"fz.compiler2.work_graph.applied":[641,640],"fz.compiler2.work_graph.quiesced":[37,36]}
fixtures2/behavior/enum_hof_three_distinct_closures.fz	{"fz.compiler2.activation_analysis.defined":[138,131],"fz.compiler2.activation_inputs.defined":[54,53],"fz.compiler2.callsite.defined":[163,160],"fz.compiler2.job.start":[759,754],"fz.compiler2.job.stop":[759,754],"fz.compiler2.pull.product.evaluated":[1374,1373],"fz.compiler2.pull.product.requested":[1380,1379],"fz.compiler2.return_type.defined":[65,61],"fz.compiler2.work_graph.applied":[759,754],"fz.compiler2.work_graph.quiesced":[41,40]}
fixtures2/behavior/enum_map_family.fz	{"fz.compiler2.activation_analysis.defined":[475,462],"fz.compiler2.activation_inputs.defined":[175,169],"fz.compiler2.callsite.defined":[575,559],"fz.compiler2.job.start":[2965,2916],"fz.compiler2.job.stop":[2965,2916],"fz.compiler2.pull.product.evaluated":[4907,4781],"fz.compiler2.pull.product.requested":[4944,4818],"fz.compiler2.pull.product.settled":[3302,3224],"fz.compiler2.pull.product.validation":[1105,1074],"fz.compiler2.return_type.defined":[210,203],"fz.compiler2.work_graph.applied":[2965,2916],"fz.compiler2.work_graph.quiesced":[124,121]}
fixtures2/behavior/enum_oracle_smoke.fz	{"fz.compiler2.activation_analysis.defined":[70,68],"fz.compiler2.job.start":[429,427],"fz.compiler2.job.stop":[429,427],"fz.compiler2.return_type.defined":[32,31],"fz.compiler2.work_graph.applied":[429,427]}
fixtures2/behavior/enum_sort.fz	{"fz.compiler2.activation_analysis.defined":[84,82],"fz.compiler2.job.start":[557,555],"fz.compiler2.job.stop":[557,555],"fz.compiler2.return_type.defined":[37,36],"fz.compiler2.work_graph.applied":[557,555]}
fixtures2/behavior/enum_take_drop_split.fz	{"fz.compiler2.activation_analysis.defined":[860,839],"fz.compiler2.activation_inputs.defined":[356,350],"fz.compiler2.callsite.defined":[1180,1167],"fz.compiler2.job.start":[4233,4153],"fz.compiler2.job.stop":[4233,4153],"fz.compiler2.pull.product.evaluated":[9884,9708],"fz.compiler2.pull.product.requested":[9940,9764],"fz.compiler2.pull.product.settled":[6785,6678],"fz.compiler2.pull.product.validation":[2017,1972],"fz.compiler2.return_type.defined":[352,342],"fz.compiler2.work_graph.applied":[4233,4153],"fz.compiler2.work_graph.quiesced":[201,195]}
fixtures2/behavior/enum_tier0.fz	{"fz.compiler2.activation_analysis.defined":[733,729],"fz.compiler2.activation_inputs.defined":[289,287],"fz.compiler2.callsite.defined":[863,860],"fz.compiler2.job.start":[4044,4032],"fz.compiler2.job.stop":[4044,4032],"fz.compiler2.pull.product.evaluated":[8747,8723],"fz.compiler2.pull.product.requested":[8850,8826],"fz.compiler2.pull.product.settled":[5817,5802],"fz.compiler2.pull.product.validation":[1910,1902],"fz.compiler2.return_type.defined":[343,341],"fz.compiler2.work_graph.applied":[4044,4032],"fz.compiler2.work_graph.quiesced":[205,204]}
fixtures2/behavior/fz_f98_range_map_converges.fz	{"fz.compiler2.activation_analysis.defined":[215,198],"fz.compiler2.activation_inputs.defined":[75,69],"fz.compiler2.callsite.defined":[230,216],"fz.compiler2.job.start":[1393,1371],"fz.compiler2.job.stop":[1393,1371],"fz.compiler2.pull.product.evaluated":[1914,1912],"fz.compiler2.pull.product.requested":[1939,1937],"fz.compiler2.return_type.defined":[106,94],"fz.compiler2.work_graph.applied":[1393,1371],"fz.compiler2.work_graph.quiesced":[56,54]}
fixtures2/behavior/list_primitives.fz	{"fz.compiler2.activation_analysis.defined":[71,67],"fz.compiler2.activation_inputs.defined":[28,26],"fz.compiler2.callsite.defined":[74,71],"fz.compiler2.job.start":[492,480],"fz.compiler2.job.stop":[492,480],"fz.compiler2.pull.product.evaluated":[539,509],"fz.compiler2.pull.product.requested":[542,512],"fz.compiler2.pull.product.settled":[367,349],"fz.compiler2.pull.product.validation":[132,122],"fz.compiler2.return_type.defined":[25,23],"fz.compiler2.work_graph.applied":[492,480],"fz.compiler2.work_graph.quiesced":[18,17]}
