fixture	base_sha256	current_sha256	base_bytes	current_bytes
fixtures2/00128_membership_sugar_rewrites.fz	948e39e2877a4bc66bef21e15919adef273e3ff056c70c5decf7e2001ccc250a	1f8a7d827227aa296ee8feadbb8640ac8a9b63a657c3036542367ea8e6a4753b	26266	26266
fixtures2/00183_enum_take_list_range.fz	6f2746d38c6b466a17cd31de71a335e04c0abe6cbfecc44e2c4e41eab1c16da9	30cdd5d35f3024a3bc4fa67123f7c9aa5371f0409796ec1b6d1edcad39aedff1	269951	269951
fixtures2/00230_enum_take_chained.fz	bb6ad28173d09f278bdf4bfabd0dfe793459e5b2b2923477b837753022af5bda	f33dc435baeb27ce536d339531565e0bd8aabc22697937f9583d69505a418f91	269915	269915
fixtures2/00275_enum_count_member_reduce.fz	0800d34fb011e68c6c708bbbcfb2587b96c76b5c41eca61e4aabef4664d4b98e	fee46f4b33efbad52aaf391f6790d193705ae53593ed586a759362cbf392a82e	105113	105113
fixtures2/00276_enum_to_list_and_map.fz	b443232db0cf7bf3291a07851d443969fd6c934259e93b00e78d048be2596731	38bdd789310a309acb8da03120ed264f189fd8cc590dfe8abe2d87006c57d868	105123	105123
fixtures2/00277_enum_tier0_fixture.fz	2abda5ef8999c9653feeed2c687cc3a703007dc782a03f8ac1e12a01ddb5ea50	007f0680df854b6dd8865b7510e7ec29095756b097d383bafe7201359133b9f5	813676	813676
fixtures2/00279_enum_find_find_value.fz	61d535d548e21b8a3c1ddefd332f1522a4556b6cba260ec006cf19c9c94cf55b	f9fe92552aa88a35fcbadc77cbc24024b60a35bc79a94168b32c89142a6d84f2	92658	92658
fixtures2/00280_enum_find_index.fz	8cc1c169ae36b0df8e13b6e2bcf2e2affe7a243251e26c5270d27cf2a33f1a6a	720ab0336122453e6b32d6d293a6c263cac91aa1ea0e4b6afeda6fe754c95c3d	100884	100884
fixtures2/00285_enum_sort_stable.fz	58c0357b5a469f0e9651bc665e85b7025507ea3a129e9b4dd61ace9ee50f062b	1959261ac0f88c3f583f3d91e52d539f61e736e2a9b378aae9014879d003dad7	196804	196804
fixtures2/00418_enum_count_range.fz	dcf78ecf2f07b2b9bbc417af5a3c460e99a4ec0663287891254799c0a82b3e60	c528526ad419b50567db69a8a221d1d465e083961a312b9b65442cd79d8da06e	178742	178742
fixtures2/00419_enum_take_mixed.fz	65974c5b93759a6c128a154e0b40d6432afa1c87ed1429ceacb641b6ed63ef4d	bc4a8a1b2f0eee68196e9a22b1616bc9efe1e2125fa6c7aa493baa8653641c45	269891	269891
fixtures2/00420_enum_take_drop_split.fz	5547e60327d0e63afb2fea51bed8d0275810606e81a92bb81a50d62c35475b01	6c974b00d7939ed50d750be9c738946aec207d86833782797fbcb5729abd3657	2053562	2053562
fixtures2/behavior/dead_closure_capture_empty_list.fz	805778b9f61613a0d9c278c5e989ec256379819946861f25c0dbb14bda1c4c2b	950b525a0fd8074e906da412ff05bd03b75bbaf976940e1fcfc945cd3cbb871f	138149	138149
fixtures2/behavior/dispatch_list_head_separates.fz	7a2bf26537d7fdc728316420fa419faed789860343d6ad997d4339e5275aa78e	15fa452e9f9ba461e3a22e1058320ec5e9a17cec7df7117841d9d76431e9590f	173687	173687
fixtures2/behavior/dispatch_seat_element_blind.fz	e57e7ce71fc0e095c1e0b2c0d9f7c7b98e7117025c29b9d83c88d5151d862844	b98773d8bd160fe35e9a0b2d7e8efc896f66b741274f792560248d2e35f5e04f	85488	85488
fixtures2/behavior/enum_hof_three_distinct_closures.fz	ebda641730b7096dec5d4a3f3f4dcc6bc60be26e7a801aee551a428d1f4bca37	22df50b46fc8aa673d71939b1dd372d52021e7f6ec0034427cd5f1aeeb6ed2d7	272825	272825
fixtures2/behavior/enum_list_allocations.fz	f787328a6408ad3e131c9d43f3d5486881231819c51925c65e1c9eae504a2a37	ae5a910a5cae2581387de5b5dab2f4c0af221f40649fb8a477fcede5e028b3fb	119558	119558
fixtures2/behavior/enum_map_family.fz	309cbd283980e8f339279440408da2577315837f8e2d1cabb87238d99591c0be	e111829940bbccc5248f1c49fb02595e999ddf3cf0a46965b53b0a613b6caeef	734791	734791
fixtures2/behavior/enum_oracle_smoke.fz	0942c0d00f280f4af09f481cf38c576faab1b9ababb0177e719743628ab5d497	d7083fee73805ad0e69dab59366f60610db53c03f92dcd9ea0ae8695ebf07cd1	100556	100556
fixtures2/behavior/enum_predicate_search.fz	e0c4d2570d4a2d201a8ad618c96c64482a7ad0c17faf92dd98edc09af8b55e36	62226615f22bee1838e944b76d9d12fd807eaf076ad0d7f723010dbe8c34b40e	806529	806529
fixtures2/behavior/enum_sort.fz	3a499496fbadabbf8036447cc20893ec377615a09eec500043b7cc366641a501	5ee6105b2f6fd2446b230ea6c516a72b85250211db2437e12efb700333ed37f0	126264	126264
fixtures2/behavior/enum_take_drop_split.fz	3d0b2a84ab5ba368823528ec948a5d13100cd02fc4e7910d6f40035a3d8f0fbd	47826beb73e388673b7afaa35139b23075b6ef38f96b0e9cd7d8beb17295aaaf	2055325	2055325
fixtures2/behavior/enum_tier0.fz	ad01c551554dd2856f6ec121b615a12a6ec8eb33e46f7186f57208e65ac2a3d7	e679e5397878ac7c5b639c52bec927eca1031b10386f9fc9ade8816bed858fa5	1327184	1327184
fixtures2/behavior/mailbox_closure_enum_hofs.fz	371c0cec3a61c7a68573c4293000de0e653fcd88d10940d89e44272758511df9	07cab8eb245d8e29266d33e6b8c94be013212f612788f05dffb32bd3b78b8bec	220318	220318
fixtures2/behavior/membership_operator.fz	0f03f02d27ad33fee0ed570b85794fc588d124d3c5214c0938b6437ca2e99160	5e3782ae0f28011b12d6e37ff2018c1d88ed683472a3544b1057da81f54291cb	173325	173325
fixtures2/behavior/unused_range_binding.fz	e5c97b684673863308974057760a95e644e1e023a71b9d7554fb41dace50ba19	49339d308f16c9f7f2887316e468eb46b23f5208bc3c73060c92a839efa72059	149136	149136
fixtures2/behavior/with_index_users_keep_nested_list_elements.fz	19f17c6f44f05222689c6e18107afff28939e5c8e02bbfa6644d48f8dbd488ce	88334bb72afa6fd91393d1f7277fcbc4f37b12a86cd214143856d7fc8b67de63	226233	226233
fixtures2/behavior/with_index_users_key_apart_by_element.fz	b52ca7d91589ed5c5fa4077292d2272640690a43cd7f86a2f8aba1360f317832	41ba20b8fb93a164be9a236cfe6f493908f867ef1ab496f0bf6eb69c540769b2	224683	224683
