fixture	metric	base	current	delta
fixtures2/00128_membership_sugar_rewrites.fz	fz.diag.warning	2	0	-2
fixtures2/00275_enum_count_member_reduce.fz	fz.diag.warning	2	0	-2
fixtures2/00277_enum_tier0_fixture.fz	fz.diag.warning	1	0	-1
fixtures2/behavior/enum_list_allocations.fz	fz.diag.warning	2	0	-2
fixtures2/behavior/enum_map_family.fz	fz.diag.warning	15	13	-2
fixtures2/behavior/enum_tier0.fz	fz.diag.warning	1	0	-1
fixtures2/behavior/membership_operator.fz	fz.diag.warning	2	0	-2
fixtures2/behavior/with_index_users_keep_nested_list_elements.fz	fz.diag.warning	2	0	-2
fixtures2/behavior/with_index_users_key_apart_by_element.fz	fz.diag.warning	2	0	-2
fixtures2/00128_membership_sugar_rewrites.fz	fz.compiler2.function_contract.defined	2	3	1
fixtures2/00275_enum_count_member_reduce.fz	fz.compiler2.function_contract.defined	15	16	1
fixtures2/00277_enum_tier0_fixture.fz	fz.compiler2.function_contract.defined	57	58	1
fixtures2/behavior/enum_list_allocations.fz	fz.compiler2.function_contract.defined	19	20	1
fixtures2/behavior/enum_map_family.fz	fz.compiler2.function_contract.defined	43	45	2
fixtures2/behavior/enum_tier0.fz	fz.compiler2.function_contract.defined	68	69	1
fixtures2/behavior/membership_operator.fz	fz.compiler2.function_contract.defined	26	27	1
fixtures2/behavior/with_index_users_keep_nested_list_elements.fz	fz.compiler2.function_contract.defined	12	13	1
fixtures2/behavior/with_index_users_key_apart_by_element.fz	fz.compiler2.function_contract.defined	13	14	1
fixtures2/00128_membership_sugar_rewrites.fz	fz.compiler2.job.start	295	296	1
fixtures2/00275_enum_count_member_reduce.fz	fz.compiler2.job.start	761	762	1
fixtures2/00277_enum_tier0_fixture.fz	fz.compiler2.job.start	3323	3324	1
fixtures2/behavior/enum_list_allocations.fz	fz.compiler2.job.start	841	842	1
fixtures2/behavior/enum_map_family.fz	fz.compiler2.job.start	2963	2965	2
fixtures2/behavior/enum_tier0.fz	fz.compiler2.job.start	4043	4044	1
fixtures2/behavior/membership_operator.fz	fz.compiler2.job.start	1274	1275	1
fixtures2/behavior/with_index_users_keep_nested_list_elements.fz	fz.compiler2.job.start	862	863	1
fixtures2/behavior/with_index_users_key_apart_by_element.fz	fz.compiler2.job.start	872	873	1
fixtures2/00128_membership_sugar_rewrites.fz	fz.compiler2.work_graph.applied	295	296	1
fixtures2/00275_enum_count_member_reduce.fz	fz.compiler2.work_graph.applied	761	762	1
fixtures2/00277_enum_tier0_fixture.fz	fz.compiler2.work_graph.applied	3323	3324	1
fixtures2/behavior/enum_list_allocations.fz	fz.compiler2.work_graph.applied	841	842	1
fixtures2/behavior/enum_map_family.fz	fz.compiler2.work_graph.applied	2963	2965	2
fixtures2/behavior/enum_tier0.fz	fz.compiler2.work_graph.applied	4043	4044	1
fixtures2/behavior/membership_operator.fz	fz.compiler2.work_graph.applied	1274	1275	1
fixtures2/behavior/with_index_users_keep_nested_list_elements.fz	fz.compiler2.work_graph.applied	862	863	1
fixtures2/behavior/with_index_users_key_apart_by_element.fz	fz.compiler2.work_graph.applied	872	873	1
